original,mapped
0,0
1,1
2,2
3,3
4,4
5,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
29,27
30,28
31,29
32,30
33,31
34,32
35,33
36,34
37,35
38,36
40,37
41,38
42,39
43,40
44,41
45,42
46,43
47,44
48,45
49,46
50,47
51,48
52,49
53,50
54,51
55,52
56,53
57,54
58,55
59,56
60,57
61,58
62,59
63,60
64,61
65,62
66,63
67,64
68,65
69,66
70,67
71,68
72,69
73,70
74,71
